YF_Symbol,SC_NAME
511034.BO,JINDAL DRILL
511066.BO,SAKTHI FIN. 
511076.BO,SAT IND LTD 
511092.BO,JMDVL       
511108.BO,SHIVA TEXYAM
511110.BO,V.B.DESAI   
511116.BO,QUADRANT    
511131.BO,KAMAN HSG   
511147.BO,WSFX        
511153.BO,ANJANIFOODS 
511187.BO,MILLENNIUM  
511194.BO,I.C.D.S.    
511196.BO,CANFIN HOMES
511208.BO,IL & FS INVE
511218.BO,SHRIRAM TRAN
511243.BO,CHOLAFIN    
511246.BO,BOMTALKIES  
511333.BO,VLS FINANCE 
511355.BO,IND CEM CAP 
511359.BO,AD-MANUM FIN
511377.BO,MEHTA I.FIN 
511391.BO,INTER GLOB F
511401.BO,MCLTD       
511411.BO,SHRISTINFRA 
511413.BO,CREST       
511431.BO,VAKRANGEE   
511441.BO,GUJ.CREDIT  
511447.BO,SYLPH TECH  
511451.BO,DHARANI FIN.
511463.BO,ALEXANDER   
511473.BO,IND.BANK MER
511493.BO,VCK CAPITAL 
511501.BO,BHARAT BHUSH
511505.BO,CAPITAL TRUS
511507.BO,USHAKIRAN FI
511509.BO,VIVO BIO TEC
511523.BO,VEERHEALTH  
511525.BO,PAN INDIA C 
511533.BO,SAHARA HOUSG
511535.BO,NDA SECURIT.
511539.BO,SUPRATRE    
511543.BO,GSB FINANCE 
511549.BO,MORARKA FIN.
511551.BO,MONARCH     
511557.BO,PRO FIN CAP.
511559.BO,TIMES GUARAN
511563.BO,SANCHAY FIN.
511571.BO,SOMDATT FIN 
511585.BO,REGENCY TRUS
511589.BO,AVONMORE    
511593.BO,LIBORD FIN  
511601.BO,YASH MANAGE.
511605.BO,ARIHANT CAP.
511609.BO,ISL CONSULT 
511611.BO,DCM FINANCIA
511626.BO,R R FINANCE.
511628.BO,IMCAP       
511630.BO,SAMBHAAV MED
511644.BO,OMEGA INTERA
511654.BO,SUGAL DAM   
511658.BO,NETTLINX LTD
511672.BO,SCANSTL     
511676.BO,GIC HOUSING 
511696.BO,CHARTERED CA
511700.BO,STD.CAP.MRKT
511702.BO,YOGI        
511710.BO,CUBICAL FIN.
511712.BO,RELIC TECHNO
511714.BO,NIMBSPROJ   
511716.BO,ESCORT FINAN
511724.BO,BAIDFIN     
511726.BO,VIPUL LTD   
511728.BO,KZ LEAS FIN.
511730.BO,AVASARA     
511736.BO,USHDEV INTNL
511742.BO,UGROCAP     
511754.BO,SHALIB.FINAN
511756.BO,ABIRAMI FIN.
511758.BO,MANSI FINANC
511760.BO,SEVENHILL   
511764.BO,AASTAFIN    
511766.BO,MUTHOOT CAP 
511768.BO,MASTER TRUST
512008.BO,EFCIL       
512018.BO,CNI RES LTD 
512020.BO,SARASW.COMM.
512036.BO,KAPIL COTEX 
512047.BO,ROYAL IND   
512048.BO,LUHARUKA    
512064.BO,VISVEN      
512068.BO,DECCANGOLD  
512070.BO,UPL         
512093.BO,CRANES SOFTW
512097.BO,SAICOM      
512099.BO,EY          
512103.BO,NIDHI GRANIT
512115.BO,ROSE MERC LT
512131.BO,SIGNET IND  
512149.BO,ADVANCE TECH
512161.BO,SECURKLOUD  
512165.BO,ABANSENT    
512169.BO,CAPRICORN   
512175.BO,VAMA INDS   
512179.BO,SUNTECK REAL
512197.BO,SILVEROAK   
512215.BO,STEPHANOTIS 
512217.BO,PRISM MEDI  
512229.BO,VERITAS     
512237.BO,JAI CORP LTD
512247.BO,ASHIRWAD CAP
512257.BO,SVARTCORP   
512267.BO,MEDIA MATRIX
512296.BO,BHAGYA INL  
512297.BO,SHANTAI     
512301.BO,CHAMBAL BREW
512344.BO,ARAVALI SEC.
512359.BO,SWORDEDGE   
512379.BO,CRESSANDA SO
512381.BO,STARTECK    
512393.BO,SHARDUL SECU
512399.BO,SERA        
512405.BO,I-POWER SOLS
512425.BO,NIRAV COMMER
512437.BO,APOLLO FIN I
512441.BO,ENBEE TRADG.
512443.BO,GANONPRO    
512453.BO,SHRI JAGDAMB
512455.BO,LLOYDS MET E
512463.BO,SHREE GLOBAL
512477.BO,BETEX INDIA 
512481.BO,POLYTEX(P)  
512489.BO,OASIS SECUR.
512493.BO,GARNET INTL 
512499.BO,SHALIMAR PRO
512519.BO,DONEAR IND. 
512527.BO,SUPER SAL IN
512529.BO,SEQUENT     
512531.BO,STC INDIA   
512559.BO,KOHINORFOODS
512565.BO,R.T.EXPORTS 
512573.BO,AVANTI FEEDS
512587.BO,ZODIAC JRD  
512589.BO,SITA ENTER. 
512591.BO,PULSAR INTL.
512595.BO,UNIMODE OVER
512597.BO,KEYFINSER   
512599.BO,ADANI ENTER 
512604.BO,HARIA EXPORT
512608.BO,BHANDARI HOS
512618.BO,RLF LIMITED.
512624.BO,REGENTRP    
512626.BO,ORBIT EXPORT
512634.BO,SAVERA IND  
513005.BO,VBC FERRO   
513010.BO,TATASTLLP   
513023.BO,NAVA        
513043.BO,REMI EDEL   
513059.BO,G.S.AUTO INT
513063.BO,TRANSFREIGHT
513097.BO,SHIV.BIMETAL
513108.BO,GANDHI SP.TU
513117.BO,AMFORGE IND.
513119.BO,ABC GAS INT 
513121.BO,ORICON ENT  
513149.BO,ACROW INDIA 
513173.BO,STL STR INF 
513228.BO,PENNAR STEEL
513250.BO,JYOTI STRUCT
513252.BO,JAY USHIN   
513262.BO,ST.STR.WHEEL
513269.BO,MAN IND.(I) 
513303.BO,MODERN STEEL
513307.BO,SYNTHIKO FOI
513309.BO,GOLKONDA    
513335.BO,METALFORGE  
513337.BO,GUJ.TOOLROOM
513343.BO,GRAND FOUND 
513349.BO,AJMERA      
513353.BO,COCHIN MIN. 
513361.BO,ISW LTD     
513369.BO,KVFORGE     
513375.BO,CARBORUNDUM 
513377.BO,MINERAL&METL
513397.BO,VALLABH STEL
513401.BO,ASHIANA ISP.
513403.BO,PM TELELINN 
513418.BO,SMFIL       
513422.BO,BLOOM INDUST
513430.BO,MAITRI      
513434.BO,TATA METALIK
513436.BO,SHAH ALLOYS 
513446.BO,JSWISPL     
513452.BO,ELANGO INDUS
513456.BO,KANISHK ST. 
513460.BO,MAHALAXMI SM
513472.BO,SIMPLEX CAST
513488.BO,SH.STEEL WIR
513498.BO,SOUTH.MAGNES
513502.BO,BARODA EXTR.
513507.BO,GUJ.CONTAIN.
513509.BO,KALYANI FORG
513511.BO,PANCH.STEEL 
513513.BO,ADITYA ISPAT
513515.BO,S.R.INDUS.  
513517.BO,STEELCAST   
513519.BO,PITTIENG    
513528.BO,GLITTEK GRAN
513532.BO,PRADEEP MET.
513536.BO,GNRL        
513540.BO,T.N.STEEL TU
513548.BO,SHARDA ISPAT
513554.BO,MAHA STEEL  
513566.BO,NOVA IRON&ST
513575.BO,STERPOW     
513599.BO,HIND.COPPER 
513629.BO,TULSYAN NEC 
513642.BO,AXEL POLYMER
513683.BO,NLCINDIA    
513687.BO,SPECTRA IND.
513693.BO,KIC METALIKS
513699.BO,SOLID STONE 
513709.BO,SHILP GRAVUR
513713.BO,WHITEORG    
513721.BO,MFSINTRCRP  
513723.BO,HGIND       
513729.BO,ARO GRANITE 
514010.BO,HIM.FIBRES  
514028.BO,RAJKAMAL SYN
514030.BO,DEEPAK SPINN
514034.BO,JBF IND.LTD 
514036.BO,LOY.TEX MILL
514043.BO,HIMAT.SEIDE 
514045.BO,BSL LTD.    
514060.BO,EVERTEX     
514087.BO,PBM POLYTEX 
514113.BO,ADHINATH TEX
514138.BO,SURYALATA SP
514140.BO,SURYAVA SPIN
